# submitted_item	validated_id	current_symbol
CG1927	FBgn0027547	CG1927
CG11815	FBgn0035299	CG11815
CG32308	FBgn0259701	CG42355
CG32308	FBgn0259702	CG42356
CG32308	FBgn0259703	CG42357
CG32307	FBgn0052311	zormin
CG32310	FBgn0052311	zormin
CG13810	FBgn0035313	CG13810
CG8960	FBgn0035315	CG8960
CG15878	FBgn0035316	CG15878
CG2034	FBgn0015359	CG2034
CG13807	FBgn0035323	CG13807
CG13806	FBgn0035325	CG13806
CG32304	FBgn0052304	obst-I
CG32302	FBgn0052302	CG32302
CG5717	FBgn0041709	yellow-g
CG13804	FBgn0035328	yellow-g2
CG13802	FBgn0264002	MsR2
CG15877	FBgn0035337	CG15877
CG32299	FBgn0052299	CG32299
CG32298	FBgn0052298	CG32298
CG13800	FBgn0266696	Svil
CG32306	FBgn0266696	Svil
CG33231	FBgn0266696	Svil
CG16762	FBgn0035343	CG16762
CG1146	FBgn0035346	CG1146
CG32295	FBgn0260480	CG32295
CG12182	FBgn0028504	CG12182
CG14949	FBgn0035358	CG14949
CG1143	FBgn0035359	CG1143
CG1246	FBgn0035360	CG1246
CG14950	FBgn0264606	Fife
CG12187	FBgn0264606	Fife
CG1262	FBgn0020509	Acp62F
CG1240	FBgn0035370	Non2
CG14952	FBgn0035377	CG14952
CG9972	FBgn0035379	spz5
CG9970	FBgn0035380	CG9970
CG32846	FBgn0052846	CG32846
CG9965	FBgn0262593	Shab
CG9969	FBgn0035382	Or63a
CG32485	FBgn0052485	CG32485
CG16753	FBgn0035393	CG16753
CG32486	FBgn0266918	CG32486
CG14955	FBgn0266436	CG45066
CG14955	FBgn0266437	CG45067
CG7740	FBgn0026189	promL
CG14956	FBgn0263108	BtbVII
CG15812	FBgn0035405	CG15812
CG14962	FBgn0035407	Asciz
CG32278	FBgn0052278	CG32278
CG14963	FBgn0035409	CG14963
CG32284	FBgn0052284	CG32284
CG14957	FBgn0035412	CG14957
CG14958	FBgn0035413	CG14958
CG14965	FBgn0035414	CG14965
CG14959	FBgn0035427	ckd
CG14960	FBgn0035428	CG14960
CG12017	FBgn0035429	CG12017
CG32275	FBgn0052275	CG32275
CG12009	FBgn0035430	CG12009
CG14968	FBgn0035431	CG14968
CG32279	FBgn0052279	Drsl2
CG10812	FBgn0035434	Drsl5
CG14961	FBgn0035439	CG14961
CG14969	FBgn0035440	CG14969
CG10810	FBgn0283461	Drs
CG32267	FBgn0052267	CG32267
CG14972	FBgn0259224	CG42324
CG14973	FBgn0259224	CG42324
CG1934	FBgn0001254	ImpE2
CG14974	FBgn0040694	CG14974
CG10858	FBgn0035458	ppk27
CG32266	FBgn0052266	CG32266
CG10855	FBgn0035461	ntc
CG10852	FBgn0015585	Acp63F
CG1079	FBgn0026592	Fie
CG14979	FBgn0035468	Gr63a
CG14977	FBgn0035469	Lamtor4
CG32265	FBgn0004911	asRNA:Eig63F-2
CG14982	FBgn0035477	CG14982
CG10853	FBgn0035478	CG10853
CG14983	FBgn0035479	CG14983
CG14984	FBgn0035480	CG14984
CG32261	FBgn0045479	Gr64a
CG32257	FBgn0045478	Gr64b
CG32256	FBgn0045477	Gr64c
CG33157	FBgn0035486	Gr64d
CG33157	FBgn0045476	Gr64e
CG32255	FBgn0052255	Gr64f
CG1136	FBgn0035490	CG1136
CG32254	FBgn0052254	CG32254
CG32259	FBgn0052259	CG32259
CG14989	FBgn0035495	CG14989
CG14998	FBgn0264693	ens
CG1171	FBgn0004552	Akh
CG15001	FBgn0259986	nab
CG15003	FBgn0035504	Teh4
CG15004	FBgn0035505	Teh2
CG18676	FBgn0040697	Teh3
CG11589	FBgn0028664	VhaM9.7-c
CG1232	FBgn0003710	tipE
CG15005	FBgn0035508	CG15005
CG1295	FBgn0263110	CG43367
CG15006	FBgn0035510	Cpr64Aa
CG15007	FBgn0035511	Cpr64Ab
CG15008	FBgn0035512	Cpr64Ac
CG1259	FBgn0035513	Cpr64Ad
CG32252	FBgn0052252	asRNA:CR32252
CG1273	FBgn0035522	CG1273
CG15017	FBgn0053514	CG33514
CG32240	FBgn0052240	CG32240
CG15019	FBgn0035541	CG15019
CG11347	FBgn0035542	DOR
CG15020	FBgn0035543	CG15020
CG15021	FBgn0035544	CG15021
CG15021	FBgn0015774	NetB
CG12607	FBgn0035545	CG12607
CG11345	FBgn0035546	CG11345
CG15022	FBgn0035547	CG15022
CG15023	FBgn0035548	CG15023
CG15024	FBgn0040699	CG15024
CG32241	FBgn0052241	CG32241
CG32248	FBgn0052248	CG32248
CG11349	FBgn0035550	CG11349
CG7465	FBgn0035551	CG7465
CG11350	FBgn0035552	CG11350
CG13721	FBgn0035554	CG13721
CG13720	FBgn0035555	CG13720
CG32242	FBgn0261526	NT1
CG32244	FBgn0261526	NT1
CG32243	FBgn0052243	CG32243
CG13719	FBgn0260657	CG42540
CG32247	FBgn0052247	CG32247
CG32246	FBgn0052246	CG32246
CG13717	FBgn0262870	axo
CG13716	FBgn0035563	CG13716
CG13715	FBgn0262870	axo
CG32234	FBgn0262870	axo
CG32236	FBgn0046793	CG32236
CG15876	FBgn0035569	CG15876
CG13713	FBgn0042199	CG13713
CG13712	FBgn0035570	CG13712
CG12493	FBgn0035571	CG12493
CG13711	FBgn0035572	CG13711
CG13707	FBgn0035578	CG13707
CG32237	FBgn0052237	CG32237
CG32235	FBgn0047330	CG32235
CG13705	FBgn0035582	CG13705
CG13704	FBgn0035583	hoka
CG32233	FBgn0052233	CG32233
CG32232	FBgn0052232	CG32232
CG12027	FBgn0035585	ATPsynCF6L
CG4597	FBgn0035594	CG4597
CG15212	FBgn0040842	CG15212
CG4603	FBgn0035593	CG4603
CG10677	FBgn0035596	CG10677
CG4669	FBgn0035598	CG4669
CG10633	FBgn0035604	Ir64a
CG15214	FBgn0085420	DIP-delta
CG4835	FBgn0035607	CG4835
CG10630	FBgn0035608	blanks
CG32422	FBgn0085371	CG34342
CG13285	FBgn0035611	CG13285
CG13285	FBgn0035674	CG13295
CG10625	FBgn0035612	frm
CG10624	FBgn0010894	sinu
CG10596	FBgn0015766	Msr-110
CG10591	FBgn0035621	CG10591
CG17795	FBgn0035623	mthl2
CG32414	FBgn0085447	sif
CG32418	FBgn0052418	vito
CG32416	FBgn0259167	CG42272
CG32415	FBgn0259167	CG42272
CG32408	FBgn0052408	CG32408
CG13288	FBgn0035648	CG13288
CG10977	FBgn0053523	CG33523
CG13289	FBgn0053993	CG33993
CG13290	FBgn0053993	CG33993
CG10479	FBgn0035656	CG10479
CG6586	FBgn0028980	tant
CG6596	FBgn0259164	CG42269
CG6602	FBgn0035673	CG6602
CG10733	FBgn0061492	loj
CG12755	FBgn0002440	l(3)mbn
CG18779	FBgn0086611	Lcp65Ag3
CG18778	FBgn0042119	Cpr65Au
CG10534	FBgn0020637	Lcp65Ag2
CG10530	FBgn0020638	Lcp65Ag1
CG10533	FBgn0020639	Lcp65Af
CG10529	FBgn0020640	Lcp65Ae
CG32405	FBgn0052405	Cpr65Av
CG32404	FBgn0052404	Cpr65Aw
CG6955	FBgn0020641	Lcp65Ad
CG6956	FBgn0020642	Lcp65Ac
CG18773	FBgn0020643	Lcp65Ab2
CG18775	FBgn0020646	Lcp65APsi
CG32400	FBgn0020644	Lcp65Ab1
CG18777	FBgn0042118	Cpr65Ax2
CG7287	FBgn0020645	Lcp65Aa
CG10297	FBgn0020765	Acp65Aa
CG13297	FBgn0035685	CG13297
CG12330	FBgn0035686	Cpr65Az
CG13299	FBgn0035694	CG13299
CG32401	FBgn0041625	Or65a
CG32402	FBgn0041624	Or65b
CG32403	FBgn0041623	Or65c
CG13300	FBgn0035699	CG13300
CG32399	FBgn0052399	CG32399
CG32398	FBgn0052398	CG32398
CG14910	FBgn0261801	CG42747
CG32397	FBgn0263973	jv
CG8398	FBgn0035708	axed
CG33280	FBgn0053280	CG33280
CG32395	FBgn0041232	CG32395
CG10121	FBgn0035710	SP1173
CG32393	FBgn0261934	dikar
CG14821	FBgn0035719	tow
CG18156	FBgn0035725	Mis12
CG10063	FBgn0035727	CG10063
CG32385	unknown ID	-
CG32388	FBgn0250849	CG32388
CG17744	FBgn0035730	CG17744
CG14823	FBgn0035734	CG14823
CG32391	FBgn0052391	CG32391
CG8640	FBgn0035735	Cpr65Ea
CG8638	FBgn0035736	Cpr65Eb
CG8634	FBgn0035737	Cpr65Ec
CG32390	FBgn0259173	corn
CG32386	FBgn0259173	corn
CG8620	FBgn0040837	CG8620
CG17742	FBgn0265296	Dscam2
CG32389	FBgn0265296	Dscam2
CG14826	FBgn0035750	CG14826
CG14829	FBgn0035751	CG14829
CG14827	FBgn0016036	mei-P22
CG14830	FBgn0035755	CG14830
CG8601	FBgn0002909	mus312
CG8600	FBgn0264302	wrm1
CG8600	FBgn0264303	wrm2
CG14834	FBgn0035768	CG14834
CG8588	FBgn0035770	pst
CG14835	FBgn0035782	CG14835
CG32383	FBgn0052383	sphinx1
CG32382	FBgn0052382	sphinx2
CG33278	FBgn0053278	CG33278
CG33279	FBgn0259935	CG42458
CG16991	FBgn0035786	Tsp66A
CG8543	FBgn0035787	CG8543
CG8541	FBgn0035788	CG8541
CG16992	FBgn0035789	mthl6
CG7548	FBgn0035792	CG7548
CG14837	FBgn0035797	CG14837
CG33276	FBgn0053276	Urm1
CG7492	FBgn0035807	CG7492
CG18768	FBgn0261788	Ank2
CG32375	FBgn0261788	Ank2
CG13685	FBgn0035816	CG13685
CG32365	FBgn0052365	CG32365
CG8281	FBgn0035824	CG8281
CG32368	FBgn0052368	CG32368
CG8042	FBgn0027554	CG8042
CG8044	FBgn0035829	HP4
CG32489	unknown ID	-
CG7574	FBgn0026263	bip1
CG13681	FBgn0262579	Sarm
CG13680	FBgn0262579	Sarm
CG18767	FBgn0042112	mRpL36
CG13676	FBgn0035844	CG13676
CG7498	FBgn0040833	CG7498
CG7498	FBgn0259916	CG42445
CG13675	FBgn0035845	CG13675
CG7476	FBgn0035847	mthl7
CG7366	FBgn0035855	CG7366
CG13679	FBgn0035856	CG13679
CG32364	FBgn0052364	tut
CG8006	FBgn0035857	CG8006
CG8012	FBgn0040832	CG8012
CG13674	FBgn0035858	CG13674
CG13678	FBgn0035859	CG13678
CG7213	FBgn0035861	CG7213
CG13673	FBgn0260472	CG13673
CG13672	FBgn0263219	Dscam4
CG7201	FBgn0035865	CG7201
CG7194	FBgn0035868	CG7194
CG7189	FBgn0035870	Gr66a
CG13670	FBgn0035873	CG13670
CG7072	FBgn0085491	CG34462
CG7072	FBgn0250833	CG34461
CG7076	FBgn0035875	Cpr66Cb
CG17352	FBgn0035880	Culd
CG18543	FBgn0010431	mtrm
CG32028	unknown ID	-
CG6902	FBgn0262719	CG43163
CG6765	FBgn0035903	CG6765
CG6683	FBgn0035902	CG6683
CG32352	FBgn0262508	CG43078
CG32353	FBgn0262508	CG43078
CG32355	FBgn0262508	CG43078
CG6282	FBgn0035914	CG6282
CG6416	FBgn0035917	Zasp66
CG32029	FBgn0052029	Cpr66D
CG13305	FBgn0035921	CG13305
CG32022	FBgn0052022	CG32022
CG6517	FBgn0000357	Cp18
CG6519	FBgn0000355	Cp15
CG6524	FBgn0000358	Cp19
CG6533	FBgn0000356	Cp16
CG13306	FBgn0040828	CG13306
CG32025	FBgn0266084	Fhos
CG5804	FBgn0035926	Acbp5
CG13310	FBgn0035928	CG13310
CG13311	FBgn0035929	CG13311
CG13307	FBgn0085455	CG34426
CG13307	FBgn0085456	CG34427
CG32023	FBgn0052023	CG32023
CG13312	FBgn0035931	CG13312
CG32024	FBgn0052024	CG32024
CG13308	FBgn0035932	CG13308
CG13309	FBgn0035933	CG13309
CG32033	FBgn0052033	CG32033
CG5008	FBgn0040321	GNBP3
CG13313	FBgn0035941	CG13313
CG5644	FBgn0035948	CG5644
CG13314	FBgn0035949	CG13314
CG5280	FBgn0035952	CG5280
CG5194	FBgn0035955	CG5194
CG4911	FBgn0035959	CG4911
CG32032	FBgn0043806	CG32032
CG13315	FBgn0040827	CG13315
CG4641	FBgn0263456	nwk
CG32040	FBgn0052040	CG32040
CG32039	FBgn0052039	Svip
CG4461	FBgn0035982	CG4461
CG3672	FBgn0035985	Cpr67B
CG4022	FBgn0035986	CG4022
CG3982	FBgn0035988	CG3982
CG3448	FBgn0035996	CG3448
CG32038	FBgn0266124	ghi
CG32043	FBgn0266101	CG44838
CG14180	FBgn0266101	CG44838
CG32036	FBgn0052036	CG32036
CG32037	FBgn0052037	CG32037
CG12526	FBgn0036009	Or67a
CG12525	FBgn0036010	Ir67a
CG14177	FBgn0267796	Tmc
CG14176	FBgn0036019	Or67b
CG32047	FBgn0053696	CNMaR
CG16711	FBgn0036032	CG16711
CG16707	FBgn0045823	vsg
CG18178	FBgn0036035	CG18178
CG14174	FBgn0036036	CG14174
CG32046	FBgn0259163	CG42268
CG32044	FBgn0259163	CG42268
CG14173	FBgn0044051	Ilp1
CG8167	FBgn0036046	Ilp2
CG14167	FBgn0044050	Ilp3
CG6736	FBgn0044049	Ilp4
CG33205	FBgn0264489	CG43897
CG33273	FBgn0044048	Ilp5
CG32050	FBgn0264489	CG43897
CG8108	FBgn0027567	Ciz1
CG14166	FBgn0085411	CG34382
CG14165	FBgn0085411	CG34382
CG6709	FBgn0036056	CG6709
CG14164	FBgn0036057	Hez
CG6685	FBgn0036062	CG6685
CG6674	FBgn0036063	CG6674
CG14160	FBgn0036066	CG14160
CG32053	FBgn0052053	CG32053
CG32054	FBgn0052054	CG32054
CG6640	FBgn0262007	CG42825
CG6640	FBgn0262008	CG42826
CG32057	FBgn0052057	dpr10
CG8072	FBgn0036070	CG8072
CG6628	FBgn0036072	CG6628
CG6611	FBgn0000451	ect
CG8065	FBgn0036075	CG8065
CG14156	FBgn0036078	Or67c
CG14157	FBgn0036080	Or67d
CG6559	FBgn0036081	CG6559
CG32060	FBgn0052060	CG32060
CG12303	FBgn0036083	Ir67b
CG32058	FBgn0052058	Ir67c
CG32065	FBgn0052065	CG32065
CG32061	FBgn0052061	CG32061
CG6527	FBgn0036085	CG6527
CG14151	FBgn0036089	CG14151
CG18628	FBgn0036091	CG18628
CG14154	FBgn0036093	CG14154
CG14153	FBgn0036094	CG14153
CG33493	FBgn0053493	CG33493
CG12523	FBgn0036102	CG12523
CG14149	FBgn0036105	Blos4
CG6409	FBgn0036106	CG6409
CG7941	FBgn0036108	Cpr67Fa1
CG18349	FBgn0036109	Cpr67Fa2
CG18348	FBgn0036110	Cpr67Fb
CG14148	FBgn0040821	CG14148
CG32070	FBgn0052070	CG32070
CG14147	FBgn0036112	CG14147
CG32080	FBgn0052080	CG32080
CG32075	FBgn0052075	CG32075
CG7869	FBgn0025355	SuUR
CG6310	FBgn0036121	CG6310
CG6272	FBgn0036126	Irbp18
CG32073	FBgn0052073	CG32073
CG12522	FBgn0036131	CG12522
CG32078	unknown ID	-
CG32077	FBgn0014368	nol
CG32074	FBgn0052074	CG32074
CG14143	FBgn0036138	CG14143
CG6216	FBgn0036139	CG6216
CG18490	FBgn0261553	CG42671
CG6185	FBgn0036150	Ir68a
CG32083	FBgn0052083	CG32083
CG6175	FBgn0036152	Dyro
CG6163	FBgn0036155	CG6163
CG11726	FBgn0036156	CG11726
CG7557	FBgn0036159	CG7557
CG7543	FBgn0036164	CG7543
CG6132	FBgn0003378	Sgs8
CG18087	FBgn0003377	Sgs7
CG11720	FBgn0003373	Sgs3
CG33490	FBgn0053490	CG33490
CG33489	FBgn0053489	CG33489
CG32086	FBgn0052086	CG32086
CG7377	FBgn0036176	CG7377
CG33268	FBgn0036177	CG33268
CG14137	FBgn0036178	CG14137
CG18331	FBgn0036181	Muc68Ca
CG14135	FBgn0036193	CG14135
CG6038	FBgn0036198	crim
CG14132	FBgn0040817	CG14132
CG32088	FBgn0052088	sunn
CG6024	FBgn0036202	loaf
CG7303	FBgn0041231	Gr68a
CG14131	FBgn0036205	CG14131
CG32095	FBgn0052095	CG32095
CG12521	FBgn0040816	CG12521
CG14129	FBgn0266100	CG44837
CG14128	FBgn0036218	Sprn
CG5897	FBgn0036220	CG5897
CG14126	FBgn0266100	CG44837
CG5883	FBgn0036225	CG5883
CG7248	FBgn0036229	CG7248
CG11570	FBgn0036230	CG11570
CG14125	FBgn0036232	CG14125
CG6947	FBgn0264488	CG43896
CG17154	FBgn0036246	CG17154
CG6801	FBgn0011335	vers
CG17153	FBgn0036248	ssp
CG11560	FBgn0036249	CG11560
CG17152	FBgn0036250	Ir68b
CG6806	FBgn0002565	Lsp2
CG11538	FBgn0002565	Lsp2
CG11538	FBgn0017424	asRNA:CR11538
CG9760	FBgn0036259	CG9760
CG5626	FBgn0036266	Tsen54
CG17144	FBgn0260941	app
CG32098	FBgn0052098	CG32098
CG32100	FBgn0052100	CG32100
CG10436	FBgn0011279	Obp69a
CG14122	FBgn0031045	CG14212
CG14122	FBgn0036282	Smyd4-2
CG32102	FBgn0052102	CG32102
CG10616	FBgn0036286	CG10616
CG10660	FBgn0036288	CG10660
CG14121	FBgn0262524	ver
CG10632	FBgn0036302	sowah
CG32111	FBgn0052111	lncRNA:CR32111
CG32109	FBgn0052109	CG32109
CG10973	FBgn0036306	CG10973
CG32106	FBgn0052106	CG32106
CG10969	FBgn0036310	CG10969
CG17666	FBgn0036311	CG17666
CG11006	FBgn0262714	Sap130
CG32108	FBgn0260965	CG42588
CG32107	FBgn0052107	CG32107
CG10943	FBgn0036320	CG10943
CG14120	FBgn0036321	CG14120
CG14119	FBgn0264486	CG43894
CG14118	FBgn0036323	CG14118
CG32114	FBgn0052114	CG32114
CG12520	FBgn0036324	CG12520
CG32117	FBgn0052117	CG32117
CG32115	FBgn0052115	CG32115
CG10752	FBgn0036325	CG10752
CG33264	FBgn0041622	Or69a
CG11263	FBgn0036330	CG11263
CG14117	FBgn0036331	CR14117
CG11258	FBgn0036335	mRpL20
CG11278	FBgn0036341	Syx13
CG11279	FBgn0036342	CG11279
CG14115	FBgn0036343	CG14115
CG14116	FBgn0085457	CG34428
CG14116	FBgn0085458	CG34429
CG17300	FBgn0036345	CG17300
CG32118	FBgn0052118	CG32118
CG33262	FBgn0053262	CG33262
CG32119	FBgn0052119	CG32119
CG17673	FBgn0003034	SP
CG14113	FBgn0040814	CG14113
CG17687	FBgn0036348	CG17687
CG11051	FBgn0287423	Nplp2
CG14112	FBgn0036349	SNCF
CG14107	FBgn0036351	CG14107
CG10717	FBgn0001256	ImpL1
CG14110	FBgn0036352	CG14110
CG32121	FBgn0052121	CG32121
CG33263	FBgn0053263	CG33263
CG10713	FBgn0036360	CG10713
CG10154	FBgn0036361	CG10154
CG10140	FBgn0036363	CG10140
CG14109	FBgn0036364	CG14109
CG10732	FBgn0036365	cmb
CG10741	FBgn0036373	Tgi
CG10710	FBgn0036377	CG10710
CG8750	FBgn0040812	CG8750
CG32136	FBgn0043550	Tsp68C
CG32132	FBgn0264006	dysc
CG32131	FBgn0264006	dysc
CG13737	FBgn0036382	CG13737
CG17368	FBgn0264006	dysc
CG9028	FBgn0036389	ssp2
CG13738	FBgn0036390	CG13738
CG17364	FBgn0036391	CG17364
CG9040	FBgn0036394	CG9040
CG17361	FBgn0036395	CG17361
CG6513	FBgn0061515	endos
CG13484	FBgn0036406	CG13484
CG8100	FBgn0036410	CG8100
CG32141	FBgn0052141	saturn
CG32140	FBgn0013718	nuf
CG7924	FBgn0036416	CG7924
CG13482	FBgn0036419	CG13482
CG13481	FBgn0036421	CG13481
CG3868	FBgn0036422	CG3868
CG3836	FBgn0003459	stwl
CG3919	FBgn0036423	CG3919
CG9587	FBgn0087007	bbg
CG9592	FBgn0036426	CG9592
CG13480	FBgn0028418	Lk
CG13479	FBgn0040811	CG13479
CG13479	FBgn0261816	CG42758
CG9628	FBgn0036433	CG9628
CG32143	FBgn0259175	ome
CG13477	FBgn0036438	gdrd
CG13474	FBgn0036439	CG13474
CG13476	FBgn0036441	CG13476
CG13471	FBgn0036443	CG13471
CG33260	FBgn0053260	Tsen34
CG5272	FBgn0001120	gnu
CG13467	FBgn0259099	DCX-EMAP
CG13465	FBgn0040809	CG13465
CG12487	FBgn0040487	BobA
CG5185	FBgn0026320	Tom
CG3096	FBgn0000216	Brd
CG3396	FBgn0040296	Ocho
CG32148	FBgn0047338	CG32148
CG18581	FBgn0036466	CG18581
CG12310	FBgn0036467	CG12310
CG13461	FBgn0036468	CG13461
CG18649	FBgn0036469	CG18649
CG13463	FBgn0036470	EAChm
CG13460	FBgn0036471	CG13460
CG18648	FBgn0086690	Plp
CG17871	FBgn0036474	Or71a
CG13459	FBgn0086690	Plp
CG6945	FBgn0036476	sstn
CG13458	FBgn0036479	CG13458
CG16959	FBgn0036481	CG16959
CG13457	FBgn0036482	CG13457
CG12316	FBgn0036483	CG12316
CG32147	FBgn0047178	CG32147
CG33259	FBgn0036495	CG33259
CG12355	FBgn0040805	CG12355
CG13455	FBgn0036498	CG13455
CG7272	FBgn0036501	CG7272
CG7841	FBgn0036502	CG7841
CG17962	FBgn0004052	Z600
CG13454	FBgn0036503	CG13454
CG7936	FBgn0004228	mex1
CG7463	FBgn0036504	yellow-k
CG7973	FBgn0053983	obst-H
CG7973	FBgn0053985	CG33985
CG7973	FBgn0053986	CG33986
CG7973	FBgn0261681	CG42728
CG7973	FBgn0261682	CG42729
CG13449	FBgn0036520	CG13449
CG33209	FBgn0259236	comm3
CG13446	FBgn0259236	comm3
CG16931	FBgn0004588	Eig71Ea
CG7355	FBgn0004589	Eig71Eb
CG7608	FBgn0004590	Eig71Ec
CG7350	FBgn0004591	Eig71Ed
CG7604	FBgn0004592	Eig71Ee
CG7599	FBgn0004593	Eig71Ef
CG7336	FBgn0004594	Eig71Eg
CG7594	FBgn0014848	Eig71Eh
CG7327	FBgn0014849	Eig71Ei
CG7588	FBgn0014850	Eig71Ej
CG7325	FBgn0014851	Eig71Ek
CG7554	FBgn0041160	comm2
CG17943	FBgn0010105	comm
CG13445	FBgn0036532	CG13445
CG6151	FBgn0261722	fwe
CG18081	FBgn0036537	CG18081
CG15715	FBgn0036538	CG15715
CG32150	FBgn0052150	meru
CG12486	FBgn0264908	pHCl-1
CG6112	FBgn0264908	pHCl-1
CG13444	FBgn0264908	pHCl-1
CG32151	FBgn0052151	CG32151
CG17032	FBgn0036547	CG17032
CG5895	FBgn0036560	CG5895
CG33258	FBgn0053258	CG33258
CG13075	FBgn0036563	CG13075
CG13074	FBgn0036567	CG13074
CG5151	FBgn0036576	CG5151
CG13073	FBgn0036577	CG13073
CG13072	FBgn0036580	PDCD-5
CG13055	FBgn0036583	CG13055
CG13054	FBgn0036584	CG13054
CG13053	FBgn0040801	CG13053
CG13071	FBgn0036585	CG13071
CG13070	FBgn0036586	CG13070
CG13069	FBgn0040798	CG13069
CG13068	FBgn0036588	CG13068
CG13067	FBgn0036589	CG13067
CG13066	FBgn0040797	CG13066
CG13065	FBgn0036590	CG13065
CG13050	FBgn0036591	CG13050
CG13064	FBgn0040796	CG13064
CG13049	FBgn0036592	CG13049
CG13048	FBgn0036593	CG13048
CG13047	FBgn0036594	CG13047
CG13046	FBgn0036595	CG13046
CG13045	FBgn0036596	CG13045
CG4962	FBgn0036597	CG4962
CG4982	FBgn0036598	CG4982
CG13044	FBgn0036599	CG13044
CG13043	FBgn0036600	CG13043
CG13063	FBgn0036601	CG13063
CG13042	FBgn0036602	CG13042
CG32160	FBgn0052160	lncRNA:CR32160
CG13062	FBgn0036603	CG13062
CG13061	FBgn0042201	Nplp3
CG13041	FBgn0036605	CG13041
CG13060	FBgn0036606	CG13060
CG13059	FBgn0036607	CG13059
CG13040	FBgn0036608	CG13040
CG13039	FBgn0036609	CG13039
CG13038	FBgn0040795	CG13038
CG13058	FBgn0036610	CG13058
CG33060	FBgn0053060	CG33060
CG33257	FBgn0053257	CG33257
CG13037	FBgn0053257	CG33257
CG13037	FBgn0285951	mRpS34
CG4818	FBgn0036617	Cpr72Ea
CG12255	FBgn0036618	Cpr72Eb
CG4784	FBgn0036619	Cpr72Ec
CG4877	FBgn0036624	RAF2
CG13036	FBgn0266099	CG44836
CG4680	FBgn0036627	Gagr
CG13035	FBgn0266099	CG44836
CG32159	FBgn0261799	dsx-c73A
CG4531	FBgn0004569	aos
CG12436	FBgn0263131	CG43373
CG13033	FBgn0036638	CG13033
CG4229	FBgn0036639	CG4229
CG16725	FBgn0036641	Smn
CG4109	FBgn0036643	Syx8
CG32163	FBgn0052163	CG32163
CG16724	FBgn0003741	tra
CG17286	FBgn0027500	spd-2
CG4101	FBgn0025558	CG4101
CG32162	unknown ID	-
CG9692	FBgn0036654	CG9692
CG13031	FBgn0036655	CG13031
CG13026	FBgn0036656	CG13026
CG13024	FBgn0036665	CG13024
CG32161	FBgn0052161	CG32161
CG32170	FBgn0052170	CG32170
CG11915	FBgn0261565	Lmpt
CG33256	FBgn0261565	Lmpt
CG13028	FBgn0036676	CG13028
CG13023	FBgn0036677	CG13023
CG11905	FBgn0036678	CG11905
CG13022	FBgn0036679	CG13022
CG9665	FBgn0036680	Cpr73D
CG13027	FBgn0036681	Obp73a
CG14060	FBgn0261547	Exn
CG32167	FBgn0052167	CG32167
CG6642	FBgn0011293	a10
CG7730	FBgn0036689	CG7730
CG14059	FBgn0036690	Ilp8
CG6615	FBgn0261872	scaf6
CG14057	FBgn0036696	Pop5
CG32169	FBgn0260943	Rbp6
CG32175	FBgn0052175	CG32175
CG7707	FBgn0036703	CG7707
CG6497	FBgn0036704	CG6497
CG13723	FBgn0036705	CG13723
CG13724	FBgn0036707	CG13724
CG13725	FBgn0036708	CG13725
CG13726	FBgn0036709	Or74a
CG13727	FBgn0036711	CG13727
CG6456	FBgn0036713	Mip
CG7692	FBgn0036714	CG7692
CG13728	FBgn0036716	CG13728
CG13731	FBgn0036717	CG13731
CG3897	FBgn0027660	blot
CG32172	FBgn0026197	lncRNA:noe
CG7630	FBgn0040793	CG7630
CG33051	FBgn0053051	Polr3G
CG32176	FBgn0052176	CG32176
CG12229	FBgn0036723	CG12229
CG18265	FBgn0036725	CG18265
CG7603	FBgn0036726	QIL1
CG13733	FBgn0036729	CG13733
CG6333	FBgn0036731	CG6333
CG32185	FBgn0052185	edin
CG32184	FBgn0259174	Nedd4
CG7497	FBgn0036742	CG7497
CG6143	FBgn0004401	Pep
CG32179	FBgn0052179	Krn
CG6064	FBgn0036746	Crtc
CG32182	FBgn0052182	CG32182
CG32181	FBgn0052181	CG32181
CG14585	FBgn0036757	Ir75a
CG14586	FBgn0261401	Ir75c
CG14586	FBgn0261402	Ir75b
CG32188	FBgn0052188	CG32188
CG32189	FBgn0052189	CG32189
CG5506	FBgn0036766	CG5506
CG16775	FBgn0036767	CG16775
CG5492	FBgn0036769	Tsp74F
CG32193	FBgn0052193	CG32193
CG32192	FBgn0052192	CG32192
CG32194	FBgn0052194	lncRNA:CR32194
CG32194	FBgn0085282	CG34253
CG13698	FBgn0036773	CG13698
CG7354	FBgn0036774	mRpS26
CG7347	FBgn0002901	mus304
CG7341	FBgn0036777	CG7341
CG32195	FBgn0052195	CG32195
CG13695	FBgn0020300	geko
CG7330	FBgn0036780	CG7330
CG13699	FBgn0036781	CG13699
CG5123	FBgn0003997	hid
CG7320	FBgn0036782	CG7320
CG7313	FBgn0036783	CheA75a
CG13700	FBgn0036785	CG13700
CG4345	FBgn0015946	grim
CG4319	FBgn0011706	rpr
CG13701	FBgn0036786	skl
CG32196	FBgn0052196	CG32196
CG32198	FBgn0052198	CG32198
CG7271	FBgn0036791	CG7271
CG4216	FBgn0003683	term
CG13380	FBgn0036799	CG13380
CG18811	FBgn0042134	Capr
CG4144	FBgn0040322	GNBP2
CG6895	FBgn0040323	GNBP1
CG32202	FBgn0052202	CG32202
CG6885	FBgn0036810	CG6885
CG4076	FBgn0036812	Nufip
